date,pmi,gdp_growth,industrial_production,retail_sales,unemployment_rate,cpi_yoy,core_cpi_yoy,ppi_yoy,wage_growth_yoy,oil_price,policy_rate,yield_10y,yield_2y,yield_curve,credit_spreads,money_supply_yoy,vix,equity_index,dollar_index,hy_spreads,equity_momentum_12m
2018-12-01,56.8,2.95,0.09,-0.02,3.7,2.4,2.1,3.3,3.1,51.0,2.63,2.66,2.43,0.22,117.0,4.5,25.7,2491.0,97.0,398.0,0.0
2019-01-01,56.6,2.82,0.48,0.09,3.7,2.4,1.9,3.4,3.1,52.6,2.52,2.67,2.53,0.14,134.0,4.5,27.6,2572.0,97.3,377.0,-2.9
2019-02-01,55.0,2.78,0.24,0.49,3.7,2.4,2.1,2.9,3.0,57.0,2.44,2.59,2.39,0.2,124.0,4.8,22.8,2574.0,96.9,398.0,-5.6
2019-03-01,54.5,2.85,-0.03,0.04,3.7,2.5,2.2,3.7,3.4,55.6,2.32,2.42,2.34,0.09,122.0,4.9,22.1,2680.0,97.1,373.0,-1.9
2019-04-01,54.6,2.71,0.22,0.31,3.7,2.2,1.8,2.3,3.2,55.9,2.33,2.36,2.36,0.01,112.0,4.6,22.3,2685.0,96.3,361.0,-2.6
2019-05-01,53.8,2.56,-0.06,0.24,3.6,2.4,2.0,3.2,3.2,58.6,2.2,2.27,2.19,0.08,117.0,5.3,21.3,2777.0,96.7,353.0,-1.7
2019-06-01,53.9,2.59,0.18,0.01,3.6,2.3,1.9,2.6,3.3,58.6,2.17,2.19,2.09,0.1,104.0,5.5,20.3,2876.0,95.8,353.0,-0.5
2019-07-01,52.8,2.47,0.21,0.83,3.7,2.5,2.1,3.1,3.3,57.6,2.22,2.15,1.9,0.25,106.0,5.2,18.4,2863.0,96.4,347.0,-0.8
2019-08-01,52.0,2.49,-0.11,0.36,3.5,2.2,2.0,3.0,3.2,61.1,2.02,2.08,1.99,0.09,115.0,5.5,14.6,3007.0,95.9,351.0,10.7
2019-09-01,52.9,2.25,0.13,-0.45,3.6,2.2,1.8,2.6,3.2,57.2,2.01,2.08,1.9,0.18,112.0,5.7,17.7,3051.0,95.9,346.0,14.3
2019-10-01,51.5,2.21,0.02,0.19,3.5,2.2,2.0,2.9,3.3,61.1,1.85,1.81,1.94,-0.12,108.0,5.8,12.5,3137.0,96.8,339.0,17.1
2019-11-01,51.1,2.13,0.05,-0.08,3.5,2.1,1.7,3.2,3.5,61.6,1.82,1.86,1.66,0.2,98.0,5.8,13.5,3186.0,96.6,341.0,25.9
2019-12-01,49.8,1.95,0.18,0.36,3.6,2.2,1.8,2.8,3.4,60.4,1.84,1.69,1.62,0.07,100.0,5.9,10.9,3295.0,96.3,348.0,32.3
2020-01-01,48.5,2.1,0.1,0.2,3.5,2.5,2.1,3.7,3.3,63.0,1.75,1.8,1.4,0.4,110.0,6.5,14.0,3280.0,96.0,330.0,27.5
2020-02-01,36.1,0.3,-0.4,-0.8,3.5,2.3,1.9,2.7,3.1,55.0,1.75,1.5,0.9,0.6,150.0,8.0,18.0,2950.0,99.0,400.0,14.6
2020-03-01,41.5,-4.9,-5.2,-8.7,4.4,1.5,1.2,2.2,3.1,25.0,0.25,0.9,0.4,0.5,320.0,10.0,66.0,2400.0,103.0,820.0,-10.4
2020-04-01,49.0,-9.1,-4.0,17.7,14.7,0.3,0.5,1.0,7.9,21.0,0.25,0.6,0.2,0.4,250.0,18.5,40.0,2750.0,100.0,650.0,2.4
2020-05-01,52.0,-2.9,1.5,18.2,13.3,0.1,0.5,-0.9,6.6,34.0,0.25,0.7,0.2,0.5,200.0,22.5,27.0,2850.0,97.0,560.0,2.6
2020-06-01,55.0,-2.8,3.0,0.9,11.1,0.6,0.5,0.5,4.9,40.0,0.25,0.7,0.2,0.5,160.0,23.0,25.0,3100.0,97.0,480.0,7.8
2020-07-01,57.0,4.0,0.8,1.2,10.2,1.0,0.8,1.6,4.7,42.0,0.25,0.7,0.2,0.5,140.0,24.0,22.0,3200.0,92.0,430.0,11.8
2020-08-01,58.0,4.0,0.5,0.4,8.4,1.3,1.1,1.7,4.7,43.0,0.25,0.7,0.2,0.5,130.0,24.5,22.0,3300.0,93.0,400.0,9.8
2020-09-01,57.0,4.3,0.4,1.0,7.9,1.4,1.2,2.0,4.5,40.0,0.25,0.8,0.2,0.6,120.0,25.0,26.0,3360.0,93.0,380.0,10.1
2020-10-01,58.5,4.3,0.6,0.2,6.9,1.2,1.0,1.4,4.4,40.0,0.25,0.9,0.2,0.7,115.0,25.5,27.0,3450.0,93.0,360.0,10.0
2020-11-01,59.0,4.3,0.3,0.2,6.7,1.2,1.1,1.7,4.4,44.0,0.25,0.9,0.2,0.7,110.0,26.0,25.0,3620.0,92.0,340.0,13.6
2020-12-01,60.0,4.3,0.5,0.3,6.7,1.4,1.3,1.8,5.1,48.0,0.25,0.9,0.2,0.7,110.0,26.9,22.0,3750.0,90.0,340.0,13.8
2021-01-01,59.6,0.56,0.75,0.18,6.5,1.2,0.9,2.0,5.3,51.0,0.24,1.1,0.11,0.98,105.0,26.5,21.9,3708.0,89.5,354.0,13.0
2021-02-01,60.4,1.02,0.61,0.44,6.3,1.9,1.6,2.7,4.9,49.4,0.27,1.21,0.23,0.98,98.0,25.8,22.0,3774.0,90.4,312.0,27.9
2021-03-01,59.6,1.45,0.55,0.67,6.1,2.5,2.1,3.5,4.7,59.1,0.26,1.12,0.2,0.91,110.0,24.2,21.6,3907.0,91.7,291.0,62.8
2021-04-01,61.1,1.87,0.53,0.79,5.8,3.4,2.7,4.5,4.9,59.0,0.24,1.29,0.28,1.02,105.0,22.5,21.3,4033.0,91.7,338.0,46.6
2021-05-01,60.6,2.11,0.64,-0.05,5.7,3.6,2.9,4.7,4.9,61.2,0.26,1.33,0.35,0.98,98.0,21.8,22.6,4103.0,93.3,298.0,44.0
2021-06-01,61.1,2.78,0.69,0.28,5.4,3.7,3.3,4.8,5.1,69.1,0.26,1.41,0.38,1.03,98.0,18.7,20.4,4202.0,92.9,309.0,35.6
2021-07-01,61.2,3.27,0.64,0.2,5.2,4.1,3.6,5.7,4.5,67.0,0.26,1.45,0.4,1.05,98.0,19.4,18.9,4258.0,93.4,290.0,33.1
2021-08-01,63.4,3.65,0.71,0.11,5.0,5.0,4.2,6.6,5.1,68.0,0.23,1.68,0.49,1.19,85.0,16.7,20.3,4360.0,93.7,275.0,32.1
2021-09-01,62.2,4.25,0.51,1.06,4.8,4.9,4.2,6.8,4.8,70.8,0.24,1.49,0.59,0.9,93.0,16.1,20.1,4416.0,94.4,304.0,31.4
2021-10-01,61.6,4.84,0.76,0.5,4.7,6.4,5.4,9.4,4.7,80.5,0.25,1.55,0.54,1.01,89.0,14.5,16.1,4705.0,94.8,302.0,36.4
2021-11-01,63.4,5.6,0.38,-0.19,4.3,6.7,6.0,9.3,4.5,78.0,0.25,1.6,0.65,0.94,86.0,13.1,18.4,4625.0,95.8,277.0,27.8
2021-12-01,62.0,5.73,0.94,0.67,4.4,6.7,5.8,8.9,4.4,90.3,0.26,1.66,0.66,0.99,89.0,13.1,18.1,4758.0,96.5,241.0,26.9
2022-01-01,57.2,5.58,0.43,1.05,3.9,6.5,5.5,9.2,5.3,69.6,0.27,1.64,0.92,0.72,99.0,9.8,16.4,4743.0,95.4,269.0,27.9
2022-02-01,53.9,5.06,0.08,0.58,3.9,7.8,6.6,10.4,5.1,113.5,0.5,2.03,0.99,1.03,97.0,9.1,21.2,4781.0,96.6,306.0,26.7
2022-03-01,53.3,4.09,-0.01,-0.48,4.0,7.8,6.5,9.7,4.8,131.1,1.06,2.26,1.44,0.83,94.0,7.9,19.6,4595.0,97.8,287.0,17.6
2022-04-01,53.7,4.24,0.26,-0.1,3.9,8.6,7.4,11.2,4.7,109.7,1.47,2.27,1.87,0.4,110.0,7.1,21.6,4627.0,101.3,338.0,14.7
2022-05-01,53.0,3.85,0.07,0.56,3.8,8.2,6.9,10.3,4.9,104.6,1.85,2.45,2.34,0.11,123.0,5.8,22.5,4382.0,101.7,352.0,6.8
2022-06-01,51.3,4.15,0.22,-0.26,3.8,8.9,7.4,11.9,5.2,103.7,2.29,2.79,2.52,0.27,126.0,4.3,24.3,4368.0,102.5,382.0,3.9
2022-07-01,49.8,2.93,0.12,0.16,3.7,9.1,7.7,12.3,4.8,98.6,2.65,2.9,2.82,0.08,126.0,4.1,23.5,4188.0,106.1,391.0,-1.6
2022-08-01,48.4,2.66,-0.03,0.26,3.6,8.7,7.3,12.4,4.5,98.3,3.0,3.23,3.41,-0.18,128.0,2.5,24.3,4335.0,109.4,388.0,-0.6
2022-09-01,46.1,2.14,-0.23,-0.46,3.6,8.2,7.1,11.2,4.7,91.6,3.33,3.39,3.42,-0.03,145.0,1.0,31.8,3978.0,109.1,449.0,-9.9
2022-10-01,45.6,1.39,-0.41,-0.15,3.6,8.1,7.0,10.8,4.6,88.0,3.56,3.43,3.69,-0.26,150.0,0.4,28.4,4007.0,111.4,440.0,-14.8
2022-11-01,44.7,1.66,-0.24,-1.46,3.6,7.2,6.1,10.0,4.1,82.7,4.16,3.95,4.3,-0.35,160.0,0.1,29.6,3942.0,112.4,461.0,-14.8
2022-12-01,45.1,1.13,-0.03,-0.61,3.5,7.1,6.1,8.6,4.6,79.8,4.52,4.18,4.55,-0.37,165.0,-1.2,28.7,3833.0,113.9,461.0,-19.4
2023-01-01,46.2,2.16,0.03,-0.08,3.4,6.5,5.6,8.9,4.4,78.6,4.76,3.84,4.62,-0.78,161.0,-2.1,31.0,3789.0,114.7,463.0,-20.1
2023-02-01,45.2,1.86,-0.17,-0.35,3.4,6.3,5.3,8.8,4.5,74.0,4.84,3.96,4.78,-0.82,149.0,-2.2,28.3,3879.0,112.6,449.0,-18.9
2023-03-01,47.1,2.37,0.06,0.54,3.5,6.0,5.3,7.6,4.6,74.2,5.0,4.13,4.77,-0.65,157.0,-2.4,31.0,3975.0,111.9,451.0,-13.5
2023-04-01,47.1,1.86,0.11,-0.35,3.5,5.4,4.6,7.7,4.5,77.9,5.25,4.23,4.74,-0.5,148.0,-1.8,28.3,4050.0,110.7,471.0,-12.5
2023-05-01,47.3,2.3,-0.06,-0.02,3.5,5.0,4.1,6.9,4.2,76.2,5.35,4.37,4.71,-0.34,157.0,-2.4,24.1,4203.0,108.7,417.0,-4.1
2023-06-01,48.7,2.67,0.11,0.18,3.5,5.3,4.4,6.9,4.1,74.9,5.53,4.6,4.91,-0.31,137.0,-2.6,26.7,4364.0,108.9,405.0,-0.1
2023-07-01,49.4,2.07,0.12,0.6,3.6,4.8,4.0,6.7,4.6,74.8,5.5,4.48,4.92,-0.43,149.0,-2.5,23.1,4285.0,106.8,443.0,2.3
2023-08-01,49.8,2.2,-0.04,-0.24,3.6,4.3,3.5,6.6,4.2,74.9,5.5,4.52,4.88,-0.36,137.0,-2.9,19.4,4322.0,105.1,410.0,-0.3
2023-09-01,49.0,2.38,0.2,0.57,3.6,4.4,3.8,6.0,4.1,72.6,5.51,4.56,5.07,-0.5,129.0,-3.2,14.4,4486.0,105.0,395.0,12.8
2023-10-01,49.9,2.31,0.25,0.25,3.7,3.8,3.4,5.3,4.1,71.5,5.49,4.73,4.86,-0.13,128.0,-3.3,19.9,4732.0,102.6,412.0,18.1
2023-11-01,50.8,2.14,0.34,-0.02,3.6,3.7,3.0,4.9,4.1,72.9,5.5,4.9,4.85,0.05,126.0,-3.4,12.6,4615.0,102.2,379.0,17.1
2023-12-01,51.7,2.51,0.36,0.44,3.6,3.2,2.8,4.0,4.0,70.0,5.5,5.18,4.94,0.23,128.0,-3.5,10.5,4848.0,101.0,407.0,26.5
2024-01-01,50.3,2.34,0.06,0.34,3.7,3.3,2.7,4.8,3.9,72.8,5.48,4.85,5.0,-0.15,123.0,-1.8,14.5,4851.0,101.5,388.0,28.0
2024-02-01,50.6,2.6,0.12,0.19,3.7,3.2,2.7,4.0,3.9,68.9,5.42,4.86,4.96,-0.1,116.0,-1.7,16.9,4758.0,101.5,371.0,22.7
2024-03-01,50.3,2.42,0.27,0.33,3.8,3.0,2.5,4.1,4.0,74.6,5.37,4.77,4.85,-0.08,118.0,-1.1,15.6,4866.0,101.5,399.0,22.4
2024-04-01,50.4,2.81,0.28,0.25,3.9,3.1,2.5,4.0,3.9,73.8,5.27,4.83,4.84,-0.01,128.0,-1.1,14.7,4970.0,102.2,362.0,22.7
2024-05-01,51.6,2.49,0.29,0.36,3.9,3.0,2.6,4.3,3.9,73.6,5.29,4.9,4.65,0.25,125.0,-0.7,15.0,4891.0,102.8,374.0,16.4
2024-06-01,52.1,2.59,0.63,0.48,3.9,3.1,2.5,4.3,3.9,75.3,5.11,4.53,4.8,-0.27,118.0,-1.0,15.6,4942.0,102.6,365.0,13.2
2024-07-01,51.6,2.79,0.31,0.67,3.9,2.8,2.4,4.2,3.9,77.0,5.08,4.47,4.61,-0.14,115.0,0.2,15.8,4961.0,102.6,374.0,15.8
2024-08-01,52.3,2.51,0.38,0.12,3.9,2.9,2.5,3.7,4.0,75.9,5.0,4.56,4.64,-0.08,114.0,0.3,15.3,4975.0,102.3,373.0,15.1
2024-09-01,52.1,2.75,0.37,0.8,4.0,2.9,2.5,3.8,3.6,70.5,5.03,4.46,4.52,-0.06,116.0,0.8,15.3,5038.0,102.6,351.0,12.3
2024-10-01,51.8,2.94,0.35,-0.01,4.0,2.6,2.1,3.1,3.9,71.9,4.9,4.51,4.46,0.05,107.0,-0.0,15.4,5045.0,103.3,338.0,6.6
2024-11-01,52.5,2.53,0.26,0.36,4.1,2.6,2.2,3.4,3.9,73.5,4.87,4.32,4.41,-0.09,110.0,1.8,14.6,5161.0,103.4,349.0,11.8
2024-12-01,53.3,2.83,0.38,0.52,4.1,2.5,2.2,3.5,3.6,75.1,4.68,4.16,4.34,-0.17,102.0,1.5,15.6,5154.0,103.9,332.0,6.3
